timestamp,strategy,mode,action,direction,symbol,right,strike,expiry,qty,spot,entry_price,exit_price,pnl,cum_pnl,reason,ref
2026-08-04 15:15:00,CPRAlgo3,PAPER,EXIT,SHORT,NIFTY-Aug2026-24500-PE,PE,24500.0,2026-08-11,65,,141.95,142.8,55.25000000000148,,TIME_CUTOFF,
2026-08-04 15:15:00,CPR,PAPER,EXIT,LONG,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-11,65,,171.5,181.4,643.5000000000003,,TIME_CUTOFF,
2026-08-04 15:15:00,SMA Crossover,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,124.55,120.25,-279.49999999999983,,TIME_CUTOFF,
2026-08-04 15:15:01,HeikinAshi,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,125.95,120.25,-370.50000000000017,,TIME_CUTOFF,
2026-08-04 15:15:01,Opening Range Breakout,PAPER,EXIT,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,,154.35,108.8,-2960.75,,TIME_CUTOFF,
2026-08-04 15:15:01,Bollinger Bands,PAPER,EXIT,LONG,NIFTY-Aug2026-24550-CE,CE,24550.0,2026-08-11,65,,141.0,129.8,-727.9999999999993,,TIME_CUTOFF,
2026-08-04 15:15:01,Renko,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-PE,PE,24450.0,2026-08-11,65,,133.5,120.25,-861.25,,TIME_CUTOFF,
2026-08-04 15:15:02,Volatility Breakout,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,136.0,195.4,3861.0000000000005,,TIME_CUTOFF,
2026-08-04 15:15:03,ML Ensemble,PAPER,EXIT,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,,147.3,108.8,-2502.500000000001,,TIME_CUTOFF,
2026-08-04 15:15:03,Stochastic Oscillator,PAPER,EXIT,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,,154.55,108.8,-2973.750000000001,,TIME_CUTOFF,
2026-08-04 15:15:04,Multi Timeframe,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,127.1,195.4,4439.500000000001,,TIME_CUTOFF,
2026-08-04 15:20:04,Delta20Hedged,PAPER,EXIT,CE,NIFTY-Aug2026-24700-CE,CE,24700.0,2026-08-04,65,,15.25,6.3,510.25,,TIME_CUTOFF,
2026-08-04 15:20:04,Delta20Hedged,PAPER,EXIT,CE,NIFTY-Aug2026-24900-CE,CE,24900.0,2026-08-04,65,,1.55,0.45,510.25,,TIME_CUTOFF,
